epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,9683.31,1.48678,1.37052,1.30027,0.51885,0.30376,0.32353,0.14362,2.33666,2.03816,1.84025,0.000332457,0.000332457,0.000332457
94,9787.28,1.50434,1.36835,1.32257,0.48528,0.31061,0.32295,0.15183,2.31865,2.01308,1.83648,0.000322778,0.000322778,0.000322778
95,9891.41,1.48403,1.35709,1.31627,0.49412,0.32704,0.32271,0.15299,2.3182,2.01425,1.83833,0.00031318,0.00031318,0.00031318
96,9995.41,1.51874,1.36596,1.31979,0.5101,0.32017,0.31452,0.14859,2.31043,1.97999,1.83981,0.000303665,0.000303665,0.000303665
97,10099.4,1.49167,1.33377,1.31909,0.54033,0.34549,0.31987,0.14875,2.30083,1.98602,1.81358,0.000294239,0.000294239,0.000294239
98,10203.6,1.46221,1.32835,1.3023,0.53765,0.34239,0.33201,0.1573,2.29151,1.95744,1.81768,0.000284906,0.000284906,0.000284906
99,10307.3,1.44333,1.30369,1.29541,0.51477,0.35356,0.33779,0.15502,2.29236,1.95263,1.81647,0.000275668,0.000275668,0.000275668
100,10410.9,1.45395,1.29985,1.29665,0.49653,0.3348,0.34351,0.15753,2.27656,1.95787,1.8077,0.000266532,0.000266532,0.000266532
101,10514.9,1.46566,1.28449,1.29221,0.53393,0.33465,0.35278,0.15311,2.30713,1.97537,1.82265,0.0002575,0.0002575,0.0002575
102,10618.2,1.47298,1.29384,1.28971,0.58546,0.30764,0.32552,0.15366,2.29599,1.95239,1.8142,0.000248577,0.000248577,0.000248577
103,10721.7,1.45148,1.29373,1.29741,0.54982,0.30428,0.32755,0.15345,2.29534,1.93989,1.81132,0.000239766,0.000239766,0.000239766
104,10824.9,1.42478,1.24817,1.26836,0.49965,0.33222,0.33349,0.15193,2.29374,1.94173,1.81153,0.000231071,0.000231071,0.000231071
105,10928.8,1.41554,1.24684,1.26709,0.57505,0.3337,0.3544,0.15503,2.28058,1.92843,1.79354,0.000222497,0.000222497,0.000222497
106,11032.9,1.4249,1.24557,1.27665,0.54941,0.33245,0.3447,0.15323,2.27634,1.92033,1.79047,0.000214046,0.000214046,0.000214046
107,11136.2,1.4081,1.22786,1.2615,0.60987,0.32521,0.34569,0.14974,2.28011,1.92111,1.8017,0.000205723,0.000205723,0.000205723
108,11240.3,1.3974,1.21344,1.26254,0.56029,0.34489,0.36324,0.15177,2.29091,1.9337,1.81064,0.000197532,0.000197532,0.000197532
109,11344.1,1.38652,1.21011,1.25402,0.66101,0.32894,0.37283,0.1582,2.28404,1.91775,1.81086,0.000189475,0.000189475,0.000189475
110,11447.9,1.36416,1.18558,1.23551,0.54569,0.35089,0.36459,0.15267,2.2839,1.91979,1.81376,0.000181557,0.000181557,0.000181557
111,11550.6,1.37816,1.18483,1.2375,0.5275,0.35373,0.36542,0.15421,2.28481,1.93741,1.81067,0.00017378,0.00017378,0.00017378
112,11654.4,1.39282,1.17936,1.23851,0.59213,0.33253,0.363,0.15157,2.2751,1.92593,1.80317,0.000166149,0.000166149,0.000166149
